"die Freiheit (Pl.: die Freiheiten)	","freedom [Kampf {m} um die Freiheit--fight for freedom]"
"der Erfolg (Pl.: die Erfolge)	","success [vom Erfolg berauscht--inebriated by success]"
"das Geld (kein Plural [Zahlungsmittel] / Pl.: [meist im Plural] die Gelder [größere (von einer bestimmten Stelle stammende, für einen bestimmten Zweck vorgesehene) Geldsumme] Geldsumme])","money [Geld machen--make money]"
"der Himmel (Pl.: die Himmel)	","sky [blauer Himmel--blue sky] [z.B. 'In der österreichischen Flüchtlingsunterkunft Traiskirchen herrschen unhaltbare Zustände: Mehr als 2000 Flüchtlinge haben kein Bett, Hunderte schlafen unter freiem Himmel - jetzt schaltet sich Amnesty International ein.']"
"das Wasser (Pl.: die Wasser / die Wässer)","water [Flasche {f} Wasser--bottle of water; fließendes Wasser--running water; Glas {n} Wasser--glass of water; Es gab nur zeitweise heißes Wasser.--Hot water was only available intermittently.]"
"das Gespräch (Pl.: die Gespräche)	","conversation [ausführliches Gespräch--extensive conversation; persönliches Gespräch--one-to-one conversation; das Gespräch aufzeichnen--to record the conversation; ein Gespräch abbrechen--to break off a conversation]"
"das Gesicht [Augen u. Nase u. Mund etc.; Miene, Gesichtsausdruck; selten: Vorder-/Oberseite von etw.] (Pl.: die Gesichter)","face [jmdm. ins Gesicht sehen--look so. in the face]"
"die Richtlinien {pl} (Sg.: die Richtlinie)","guidelines [politische Richtlinien--policy guidelines]"
"der Einklang ([meist im Singular] Pl.: die Einklänge)","harmony [Übereinstimmung] [in Einklang stehen mit--be in harmony with]"
"die Rettung (Pl.: die Rettungen)	","rescue [jdm. zur Rettung kommen--to come to sb.'s rescue]"
"die Devisenreserven {pl--meist Plural} (Sg.: die Devisenreserve)","foreign exchange reserves [Mit $ 1.95 Billionen Devisenreserven, die Chinesische Regierung wurde aggressiv Kauf Gold.--With $1.95 trillion in foreign exchange reserves, the Chinese Government has been aggressively purchasing gold.]"
"die Währung (Pl.: die Währungen)	","currency [fin.; curr.] [stabile Währung--stable currency; überbewertete Währung--overvalued currency; in englischer Währung--in English currency; seine Währung abwerten--to devalue one's currency [fin.]]; [z.B. Article date: February 01, 2016. 'Die chinesische Währung ist unter Druck, weil die Wirtschaft der Volksrepublik so langsam wie seit 25 Jahren nicht mehr wächst, es seit Monaten an den Finanzmärkten starke Kursausschläge gibt und viel Kapital ins Ausland fließt.']"
"der Tisch (Pl.: die Tische)	","table [furn.] [auf dem Tisch--on the table; am Tisch sitzen--to sit at table; einen Tisch bestellen--to book a table [gastr.]; 3 Meter langer Tisch--table 3 metres in length [furn.]]"
"das Bargeld (kein Plural)	","cash [Bargeld erhalten--to obtain cash; jdm. geht das Bargeld aus--sb. runs out of cash; Bargeld lacht.--Cash is king.]"
"die Abhebung (Pl.: die Abhebungen)	","withdrawal [von Konto] [fin.]  [Abhebung {f} von Geld--withdrawal of money; tägliche Abhebungen--day-to-day withdrawals]"
"die Angabe (Pl.: die Angaben)	","information [falls wir noch weitere Angaben benötigen--if we require further information]; indication [Andeutung, Hinweis] [Angabe der Zugaben--indication of ingredients]"
"die Einlagen {pl} (Sg.: die Einlage)	","deposits [fin] [langfristige Einlagen {pl}--long-term deposits [fin.]; versicherte Einlagen {pl}--insured deposits [fin.]; Zinsfuß {m} für Einlagen--interest rate for deposits [fin.]; Zinssatz {m} für Einlagen von Kleinkunden--retail deposit rate]"
"die Schlacht (Pl.: die Schlachten)	","battle [blutige Schlacht--bloody battle; eine Schlacht führen--to wage a battle; eine Schlacht gewinnen--to win a battle]"
"die Halbinsel (Pl.: die Halbinseln)	","peninsula [geogr.] [die Arabische Halbinsel--the Arabian Peninsula; die Halbinsel ragt ins Meer hinaus--the peninsula juts out into the sea]"
"die Vergabe (Pl.: die Vergaben)	","award [+von Stipendium, Auftrag etc] [Vergabe {f} von Aufträgen--awarding of contracts [law; constr.; comm.]]; allocation [von Mitteln]"
"die Kreditvergabe (Pl.: die Kreditvergaben)","lending [fin.] [Notfall-Kreditvergabe--emergency lending [econ.]]"
"die Unfähigkeit (Pl.: die Unfähigkeiten)","inability [Nichtkönnen] [Meine Unfähigkeit zu schwimmen war eines meiner größten Erniedrigungen und Peinlichkeiten.--My inability to swim has been one of my greatest humiliations and embarrassments.]"
"der Bedarf (kein Plural [Benötigtes; Gewünschtes; Nachfrage]/[fachspr.] die Bedarfe [Fälle/Formen von Bedarf])","need [Bedürfnis] [an +Dat.--for] [bei dringendem Bedarf--in cases of urgent need; einem Bedarf abhelfen--to meet a need; ; demand [den Bedarf decken--to satisfy demand, to meet the needs; Bedarf zu Spitzenzeiten--peak-period demand] [z.B. 'Der Bedarf an Speisefischen wächst.']"
"die Darstellung (Pl.: die Darstellungen)","representation [account, exposition; also theat.] [grafische Darstellung--graphic representation; künstlerische Darstellung--artistic representation; plastische Darstellung--three-dimensional visualization [comp.; MedTech.]; account [Bericht] [nach Ihrer eigenen Darstellung--by your own account]"
"die Forderung (Pl.: die Forderungen)	","claim [insur.; law] [berechtigte Forderung--justified claim; eine Forderung anmelden--to lodge a claim]; demand [Forderung von Lohnerhöhungen--demand for higher wages] eine Forderung erfüllen--to agree to a demand] [z.B. 'Doch fänden sich zentrale Forderungen der Industrie im Gesetzentwurf erfüllt.']; receivables [fin.] [Vermögen {n} in Form von Forderungen--assets such as receivables] (суммы к получению)"
"der Hemmschuh (Pl.: die Hemmschuhe)	hindrance [fig.]","die Auswirkung (Pl.: die Auswirkungen)	"
"impact [auf +Akk.--on] [nachteilige Auswirkung--adverse impact, adverse effect; ungünstige Auswirkung auf die Umwelt--adverse environmental impact, adverse environmental effect [ecol.]]; consequence [Folge] [Auswirkungen von Störungen begrenzen--to limit consequences of hazard incidents]","die Gemeinschaft (Pl.: die Gemeinschaften)"
