"#","German","English"
"1	"," der Gebrauch"," use"
"2	"," das Eis"," ice, ice cream"
"3	"," das Hackfleisch"," piece of meat for slicing"
"4	"," das Müsli"," grain cereal, cereal grains"
"5	"," das Ungeheuer"," monster, monstrosities"
"6	"," das Abitur"," school exam"
"7	"," das Alter"," age"
"8	"," das Amt"," office, bureau"
"9	"," das Angebot"," bid, offer"
"10	"," das Aquarium"," aquarium"
"11	"," das Asyl"," asylum"
"12	"," das Auge"," eye"
"13	"," das Ausland"," overseas"
"14	"," das Aussehen"," appearance"
"15	"," das Autohaus"," car dealership"
"16	"," das Bargeld"," cash money"
"17	"," das Beet"," bed, patch (of flowers, etc.)"
"18	"," das Bein"," leg"
"19	"," das Bekenntnis"," confession"
"20	"," das Bekleidungsgeschäft"," clothing store"
"21	"," das Besteck"," cutlery, flatware, silverware"
"22	"," das Bier"," beer"
"23	"," das Bild"," photo"
"24	"," das Blatt"," leaf, leaves"
"25	"," das Blut"," blood"
"26	"," das Blütenblatt"," flower petal"
"27	"," das Bonbon"," candy, treat"
"28	"," das Brett"," cutting board"
"29	"," das Brät"," meat"
"30	"," das Brötchen"," small bread roll"
"31	"," das Bund"," a bundle"
"32	"," das Bußgeld"," fine, penalty"
"33	"," das Bügeleisen"," noun"
"34	"," das Chaos"," chaos. Disorder"
"35	"," das Croissant"," croissant"
"36	"," das Datum"," date"
"37	"," das Denken"," thought, thoughts"
"38	"," das Dirndl"," bavarian traditional women´s dress"
"39	"," das Doppelbett"," double bed"
"40	"," das Doppelzimmer"," double room"
"41	"," das Dorf"," village"
"42	"," das Dreieck"," triangle"
"43	"," das Dunkel"," darkness"
"44	"," das Einzelzimmer"," one bedroom hotel"
"45	"," das Elektrogeschäft"," electronics store"
"46	"," das Erdbeben"," earthquake"
"47	"," das Etui"," small case - i.e. Glasses case"
"48	"," das Fahrzeug"," vehicle"
"49	"," das Fasten"," a fast"
"50	"," das Feld"," field"
"51	"," das Fenster"," window"
"52	"," das Fernweh"," wander lust"
"53	"," das Festgewand"," festive garment"
"54	"," das Fett"," fat"
"55	"," das Fieber"," fever"
"56	"," das Formular"," form"
"57	"," das Fresko"," fresco"
"58	"," das Fundament"," foundation"
"59	"," das Gammelfleisch"," rotten meat, roadkill"
"60	"," das Garagentor"," garage door"
"61	"," das Gebirge (pl)"," the mountains, mountain range"
"62	"," das Gebot"," command, commandments"
"63	"," das Gefieder "," feathers, plumage"
"64	"," das Geflügel"," poultry"
"65	"," das Gefolge"," entourage"
"66	"," das Gefühl"," a feeling, feelings"
"67	"," das Gegenteil"," opposite"
"68	"," das Geheimnis"," mystery"
"69	"," das Gelächter"," laughter"
"70	"," das Gemüse"," vegetables"
"71	"," das Gepäck"," hand luggage"
"72	"," das Gericht"," meal, court of justice"
"73	"," das Geschenk"," gift"
"74	"," das Geschirr"," dishes"
"75	"," das Geschrei"," clamour"
"76	"," das Gesetz"," law, statute"
"77	"," das Gesicht"," face"
"78	"," das Gesäß"," bottom, seat, posterior"
"79	"," das Getreide"," grain, cereals"
"80	"," das Getöse"," roar"
"81	"," das Getümmel"," ruckus"
"82	"," das Gewicht"," weight"
"83	"," das Glas"," glass"
"84	"," das Glück"," luck"
"85	"," das Gold"," gold"
"86	"," das Grundstück"," piece of land, real estate, lot"
"87	"," das Haar"," hair"
"88	"," das Hammerwerfen"," hammer throwing"
"89	"," das Handgelenk"," wrist"
"90	"," das Handgepäck"," hand luggage"
"91	"," das Heimweh"," homesickness"
"92	"," das Hemd"," shirt"
"93	"," das Hochhaus"," apartment building"
"94	"," das Holz"," wood"
"95	"," das Hähnchen"," chicken"
"96	"," das Hörnchen"," croissant"
"97	"," das Ideal"," ideal, ideals"
"98	"," das Idol"," idol"
"99	"," das Interesse"," interest"
"100	"," das Interrogativpronomen"," interrogative pronoun"
